Time (min),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
0.0,91276637.74934734,1,5505.389605,6058.278337,-3694.999427,3689.773564,4222.72217,3028.891599
8.236480545,0.0,0,5301.242925858686,6289.285964534231,-3606.491005712038,2319.817224,4865.712767,3698.167005
9.236480545,0.0,0,5275.94105083496,6316.782763959928,-3595.5212998936786,1865.808701,4981.749611,3862.256016
10.23648055,0.0,0,5250.529039713226,6344.158641676426,-3584.5038442309287,1402.384261,5072.667625,4006.812686
11.23648055,0.0,0,5225.007379208416,6371.413073354955,-3573.438849740549,932.0104707,5138.4804,4131.480818
12.23648055,0.0,0,5199.3765577535705,6398.54553740252,-3562.326528184186,457.1066771,5179.368385,4236.050692
13.23648055,0.0,0,5173.637065998183,6425.555514423767,-3551.167092284438,-19.97676063,5195.6658,4320.451362
14.23648055,0.0,0,5147.78939667201,6452.442487368102,-3539.9607556658093,-496.9769412,5187.846254,4384.741366
15.23648055,0.0,0,5121.83404457565,6479.20594153959,-3528.707732850621,-971.7335203,5156.50757,4429.098291
16.23648055,0.0,0,5095.771506571067,6505.845364606816,-3517.408239254909,-1442.200491,5102.356322,4453.807591
17.23648055,0.0,0,5069.602281572076,6532.36024661268,-3506.0624911842933,-1906.454806,5026.192483,4459.251039
18.23648055,0.0,0,5043.326870534798,6558.750079984165,-3494.6707058298425,-2362.702095,4928.894567,4445.895151
19.23648055,0.0,0,5016.945776448069,6585.014359542059,-3483.233101263915,-2809.27978,4811.405518,4414.27986
20.23648055,0.0,0,4990.45950432381,6611.152582510615,-3471.7498964359847,-3244.657942,4674.719569,4365.00765
21.23648055,0.0,0,4963.868561187353,6637.164248527182,-3460.221311168445,-3667.438274,4519.870184,4298.733329
22.23648055,0.0,0,4937.173456067753,6663.048859651783,-3448.647566152409,-4076.35148,4347.919174,4216.154538
23.23648055,0.0,0,4910.374699988025,6688.805920376646,-3437.0288829434794,-4470.253434,4159.946995,4118.003068
24.23648055,0.0,0,4883.47280595537,6714.43493763569,-3425.3654839575083,-4848.120379,3957.044221,4005.037018
25.23648055,0.0,0,4856.468288951355,6739.935420813964,-3413.657592466337,-5209.043443,3740.304141,3878.033793
26.23648055,0.0,0,4829.361665922052,6765.306881757034,-3401.905432593529,-5552.222675,3510.816431,3737.783925
27.23648055,0.0,0,4802.153455768144,6790.548834780338,-3390.1092293100737,-5876.960802,3269.661807,3585.085678
28.23648055,0.0,0,4774.844179334991,6815.660796678474,-3378.269208430078,-6182.656865,3017.907591,3420.740395
29.23648055,0.0,0,4747.434359402658,6840.642286734454,-3366.3855966064502,-6468.799851,2756.604091,3245.548528
30.23648055,0.0,0,4719.924520675913,6865.492826728906,-3354.458621326557,-6734.962443,2486.781712,3060.3063
31.23648055,0.0,0,4692.315189774175,6890.211940949228,-3342.4885109078696,-6980.794954,2209.448722,2865.802933
32.23648055,0.0,0,4664.606895221436,6914.799156198693,-3330.475494493593,-7206.019509,1925.589567,2662.818384
33.23648055,0.0,0,4636.8001674361485,6939.254001805514,-3318.419802048279,-7410.424523,1636.163691,2452.121533
34.23648055,0.0,0,4608.895538721063,6963.576009631844,-3306.321664353424,-7593.859503,1342.104762,2234.468776
35.23648055,0.0,0,4580.893543253043,6987.764714082748,-3294.181313003053,-7756.230186,1044.320257,2010.602951
36.23648055,0.0,0,4552.794717072841,7011.819652115102,-3281.998980399283,-7897.494034,743.6913444,1781.25258
37.23648055,0.0,0,4524.599598074834,7035.740363246478,-3269.7748997478784,-8017.65607,441.0730108,1547.131351
38.23648055,0.0,0,4496.308725996724,7059.526389563935,-3257.5093050537816,-8116.765072,137.2943871,1308.937834
39.23648055,0.0,0,4467.922642409215,7083.177275732804,-3245.2024311166388,-8194.910096,-166.8407631,1067.355371
40.23648055,0.0,0,4439.441890705637,7106.692569005392,-3232.8545135263003,-8252.217328,-470.5534292,823.0521261
41.23648055,0.0,0,4410.867016091544,7130.071819229657,-3220.4657886583145,-8288.847247,-773.088643,576.6812584
42.23648055,0.0,0,4382.198565574287,7153.314578857823,-3208.0364936694014,-8304.992087,-1073.714697,328.8811994
43.23648055,0.0,0,4353.4370879525295,7176.420402954941,-3195.56686649291,-8300.87358,-1371.722312,80.27601373
44.23648055,0.0,0,4324.58313380575,7199.388849207417,-3183.05714583427,-8276.740968,-1666.42378,-168.5241763
45.23648055,0.0,0,4295.637255483701,7222.219477931473,-3170.5075711664185,-8232.869254,-1957.152085,-416.9227173
46.23648055,0.0,0,4266.6000070958335,7244.911852081562,-3157.918382725212,-8169.557709,-2243.260027,-664.3359157
47.23648055,0.0,0,4237.471944500692,7267.46553725874,-3145.289821504833,-8087.128576,-2524.119362,-910.1925063
48.63913203,0.0,0,4208.253625295274,7289.88010171898,-3132.62212925318,-7939.798306,-2908.441304,-1251.694232
49.63913203,0.0,0,4196.463464713317,7298.865975862767,-3127.510468832203,-7812.08519,-3176.120857,-1493.237622
50.63913203,0.0,0,4167.119489813968,7321.084680028421,-3114.788298167565,-7666.514452,-3436.54064,-1731.362087
51.63913203,0.0,0,4137.6866050577455,7343.163237048657,-3102.027580360734,-7503.504192,-3689.143523,-1965.541578
52.63913203,0.0,0,4108.165373876836,7365.101224274801,-3089.2285596894726,-7323.493029,-3933.388136,-2195.260178
53.63913203,0.0,0,4078.556361394644,7386.898221749099,-3076.391481164769,-7126.939801,-4168.748373,-2420.011724
54.63913203,0.0,0,4048.860134414964,7408.553812212754,-3063.516590526156,-6914.323412,-4394.712944,-2639.299462
55.63913203,0.0,0,4019.077261411131,7430.067581113918,-3050.604134236997,-6686.142798,-4610.784984,-2852.635728
56.63913203,0.0,0,3989.208312515144,7451.439116615626,-3037.6543594797768,-6442.917013,-4816.481736,-3059.541662
57.63913203,0.0,0,3959.253859506748,7472.668009603679,-3024.6675141513624,-6185.185435,-5011.334287,-3259.546969
58.63913203,0.0,0,3929.214475802487,7493.753853694476,-3011.643846858264,-5913.508075,-5194.887393,-3452.189722
59.63913203,0.0,0,3899.0907364447294,7514.696245242795,-2998.5836069118704,-5628.465986,-5366.699371,-3637.016213
60.63913203,0.0,0,3868.883218090663,7535.494783349517,-2985.4870443236787,-5330.661775,-5526.34209,-3813.580871
61.63913203,0.0,0,3838.592499001245,7556.149069869302,-2972.354409800509,-5020.720203,-5673.401036,-3981.446231
62.63913203,0.0,0,3808.2191590301454,7576.658709418212,-2959.185954739706,-4699.288868,-5807.475493,-4140.182983
63.63913203,5539560.466147384,1,3777.763779612642,7597.023309381278,-2945.9819312243244,-4367.038972,-5928.178812,-4289.370084
64.63913203,5539560.466147384,1,3747.226943754488,7617.242479920016,-2932.7425920183023,-4024.666155,-6035.138804,-4428.594965
65.63913203,5539560.466147384,1,3716.6092360207513,7637.31583397989,-2919.4681905616253,-3672.891406,-6127.998246,-4557.453823
66.63913203,5539560.466147384,1,3685.9112425246303,7657.242987297721,-2906.1589809654743,-3312.462019,-6206.415516,-4675.552006
67.63913203,5539560.466147384,1,3655.133550916225,7677.023558409042,-2892.8152180073607,-2944.152611,-6270.065373,-4782.504519
68.63913203,5539560.466147384,1,3624.276750371293,7696.657168655408,-2879.4371571262486,-2568.766175,-6318.639872,-4877.936632
69.63913203,5539560.466147384,1,3593.3414315799737,7716.143442191628,-2866.025054417665,-2187.135157,-6351.849445,-4961.484629
70.63913203,5539560.466147384,1,3562.328186735474,7735.482005992979,-2852.5791666288,-1800.122557,-6369.424154,-5032.796685
71.63913203,5539560.466147384,1,3531.2376095227373,7754.672489862332,-2839.099751153586,-1408.623024,-6371.115113,-5091.533901
72.63913203,5539560.466147384,1,3500.0702951070725,7773.714526437248,-2825.587066027778,-1013.563928,-6356.696112,-5137.371501
73.63913203,5539560.466147384,1,3468.82684012277,7792.607751197005,-2812.0413699240075,-615.9063979,-6325.96544,-5170.000201
74.63913203,5539560.466147384,1,3437.5078426616724,7811.35180246958,-2798.462922146836,-216.6462854,-6278.747928,-5189.127775
75.63913203,5539560.466147384,1,3406.113902261727,7829.946321438568,-2784.8519826277843,183.1849617,-6214.897211,-5194.480816
76.63913203,5539560.466147384,1,3374.645619895514,7848.390952150052,-2771.208811920367,582.5195612,-6134.298238,-5185.806727
77.63913203,5539560.466147384,1,3343.103597958733,7866.685341519423,-2757.533671195094,980.2528268,-6036.87002,-5162.875933
78.63913203,5539560.466147384,1,3311.4884402586786,7884.82913933813,-2743.826822234476,1375.242814,-5922.568637,-5125.484337
79.63913203,5539560.466147384,1,3279.800752002682,7902.821998280389,-2730.0885274280145,1766.310234,-5791.390497,-5073.456042
80.63913203,5539560.466147384,1,3248.04113978652,7920.663573909835,-2716.3190497671776,2152.23869,-5643.375866,-5006.646323
81.63913203,5539560.466147384,1,3216.210211582804,7938.353524686103,-2702.518652840362,2531.775311,-5478.612637,-4924.944882
82.63913203,0.0,0,3184.3085767293496,7955.891511971386,-2688.687600827854,2903.631839,-5297.240354,-4828.279368
83.63913203,0.0,0,3152.3368459175017,7973.277200036896,-2674.8261584967668,3266.486266,-5099.454462,-4716.619167
84.63913203,0.0,0,3120.29563118045,7990.510256069307,-2660.9345911959736,3618.985099,-4885.510752,-4589.97946
85.63913203,0.0,0,3088.185545881513,8007.59035017712,-2647.013164851029,3959.746345,-4655.729972,-4448.425512
86.63913203,0.0,0,3056.0072047023887,8024.517155396974,-2633.062145959077,4287.363317,-4410.502549,-4292.077183
87.63913203,0.0,0,3023.761223631401,8041.290347699914,-2619.081801583752,4600.40936,-4150.293355,-4121.113606
88.63913203,0.0,0,2991.4482199516992,8057.909605997587,-2605.0723993500624,4897.443603,-3875.646439,-3935.77799
89.63913203,0.0,0,2959.068812229439,8074.374612148391,-2591.034207439271,5177.017819,-3587.189611,-3736.382462
90.63913203,0.0,0,2926.6236203019484,8090.685050963564,-2576.9674945837605,5437.684504,-3285.638774,-3523.31287
91.63913203,0.0,0,2894.1132652658616,8106.840610213219,-2562.872530061886,5678.006233,-2971.801836,-3297.033429
92.63913203,0.0,0,2861.538369465219,8122.840980632322,-2548.7495836928247,5896.566344,-2646.582059,-3058.09108
93.63913203,0.0,0,2828.89955647957,8138.685855926609,-2534.5989258314103,6091.980981,-2310.980638,-2807.119416
94.63913203,0.0,0,2796.1974511120206,8154.374932778452,-2520.420827362951,6262.912469,-1966.09832,-2544.841983
95.63913203,0.0,0,2763.432679377286,8169.907910852662,-2506.2155596980565,6408.083954,-1613.135849,-2272.074799
96.63913203,0.0,0,2730.605868489695,8185.284492802246,-2491.9833947674283,6526.295185,-1253.39301,-1989.727857
97.63913203,0.0,0,2697.7176468511907,8200.504384274089,-2477.724605016665,6616.43925,-888.2660616,-1698.805436
98.63913203,0.0,0,2664.7686440392995,8215.567293914599,-2463.4394634010405,6677.520019,-519.2433684,-1400.40499
99.63913203,0.0,0,2631.7594907950797,8230.47293337527,-2449.1282433802826,6708.669958,-147.8990401,-1095.714446
100.1082326,0.0,0,2598.690819011041,8245.221017318221,-2434.791218913336,6712.758423,26.63310567,-950.9746977
101.1082326,0.0,0,2583.1579569359,8252.084981563885,-2428.0568987366023,6696.992724,400.4799717,-637.3789476
102.1082326,0.0,0,2550.0029948675506,8266.60108942163,-2413.682462851214,6646.420776,776.745842,-316.7141186
103.1082326,0.0,0,2516.790079319758,8280.958950162234,-2399.28290105638,6560.698231,1153.744249,9.661088304
104.1082326,0.0,0,2483.519846085648,8295.158288933906,-2384.8584890021675,6439.688501,1529.736707,340.314087
105.1082326,0.0,0,2450.192932055573,8309.198833919441,-2370.4095028143506,6283.499912,1902.952138,673.7492394
106.1082326,0.0,0,2416.8099752049266,8323.080316341413,-2355.9362190891247,6092.522517,2271.614615,1008.425723
107.1082326,0.0,0,2383.3716145819244,8336.80247046732,-2341.438914887811,5867.46144,2633.979879,1342.783248
108.1082326,21477.323336320238,1,2349.878490295373,8350.365033614677,-2326.917867731556,5609.362934,2988.380152,1675.275794
109.1082326,21477.323336320238,1,2316.331243502421,8363.767746156038,-2312.373355596012,5319.629075,3333.275631,2004.412591
110.1082326,21477.323336320238,1,2282.7305163962783,8377.01035152397,-2297.8056569060227,5000.017252,3667.309729,2328.804432
111.1082326,21477.323336320238,1,2249.076952193926,8390.092596215962,-2283.215050530294,4652.621729,3989.363871,2647.212205
112.1082326,21477.323336320238,1,2215.3711951238024,8403.014229799282,-2268.601815776045,4279.83633,4298.606782,2958.593554
113.1082326,21477.323336320238,1,2181.613890413473,8415.77500491577,-2253.9662323836765,3884.299755,4594.53303,3262.143046
114.1082326,21477.323336320238,1,2147.805684277276,8428.37467728656,-2239.3085805214014,3468.827676,4876.986242,3557.321435
115.1082326,21477.323336320238,1,2113.947223903952,8440.813005716782,-2224.629140779893,3036.337994,5146.164063,3843.870632
116.1082326,21477.323336320238,1,2080.039157444258,8453.089752100153,-2209.928194166908,2589.776888,5402.604175,4121.8127
117.1082326,21477.323336320238,1,2046.082133998556,8465.204681423558,-2195.206022101905,2132.05316,5647.153063,4391.433208
118.094466,21477.323336320238,1,2012.0768036043903,8477.157561771526,-2180.4629064106634,1672.447436,5877.770421,4649.696726
119.094466,21477.323336320238,1,1978.492931652084,8488.78695046881,-2165.902515324517,1200.86585,6097.559614,4900.645816
120.094466,21477.323336320238,1,1944.3935838175787,8500.41728817114,-2151.1186380825457,725.7896108,6299.720009,5137.39988
121.094466,21477.323336320238,1,1910.2478756532664,8511.884902824926,-2136.314661176849,248.7789951,6485.267464,5360.582199
122.094466,21477.323336320238,1,1876.056460808672,8523.189574906213,-2121.490867999189,-228.8477907,6655.225876,5570.85756
123.094466,21477.323336320238,1,1841.819993808284,8534.331088010247,-2106.6475423206743,-705.9892831,6810.602567,5768.908036
124.094466,21477.323336320238,1,1807.5391300390177,8545.309228855622,-2091.78496828632,-1181.734418,6952.371088,5955.414842
125.094466,21477.323336320238,1,1773.2145257376758,8556.123787288352,-2076.903430409611,-1655.336943,7081.459971,6131.045275
126.094466,21477.323336320238,1,1738.8468379783828,8566.774556285905,-2062.003213567058,-2126.191647,7198.746041,6296.44371
127.094466,21477.323336320238,1,1704.436724660011,8577.261331961163,-2047.0846029927425,-2593.812933,7305.051127,6452.22579
128.094466,21477.323336320238,1,1669.984844493575,8587.58391356632,-2032.1478842728536,-3057.815918,7401.141205,6598.975
129.094466,21477.323336320238,1,1635.4918569896397,8597.742103496728,-2017.193343340226,-3517.900033,7487.727244,6737.241024
130.094466,21477.323336320238,1,1600.9584224456792,8607.735707294687,-2002.221266468864,-3973.834956,7565.467172,6867.539369
131.094466,21477.323336320238,1,1566.3852019334438,8617.56453365315,-1987.231940268459,-4425.448652,7634.968539,6990.351878
132.094466,21477.323336320238,1,1531.772857286309,8627.22839441941,-1972.225651678909,-4872.61727,7696.791586,7106.127839
133.094466,21477.323336320238,1,1497.1220510865971,8636.727104598674,-1957.202687964821,-5315.256657,7751.452479,7215.285474
134.094466,21477.323336320238,1,1462.4334466528978,8646.06048235763,-1942.1633367100103,-5753.315257,7799.426581,7318.213646
135.094466,21477.323336320238,1,1427.7077080273732,8655.228349027904,-1927.107885812001,-6186.768177,7841.151646,7415.273681
