Antenna,Time (sec),X,Y,Z
DSS 24,0.0,-2352.2848309999995,-4641.625137,-1360.6223089999999
DSS 24,494.1888326999999,-2197.888183726043,-4696.868823202116,-1427.5614507967312
DSS 24,554.1888326999999,-2179.0212066645236,-4703.162175030847,-1435.7412867911994
DSS 24,614.1888329999999,-2160.129147207138,-4709.36549450008,-1443.9319973356214
DSS 24,674.1888329999999,-2141.212367192523,-4715.478662797956,-1452.1334255537424
DSS 24,734.1888329999999,-2122.2712286492224,-4721.501562931653,-1460.3454144869722
DSS 24,794.1888329999999,-2103.3060941664717,-4727.4340796051065,-1468.5678069336316
DSS 24,854.1888329999999,-2084.31732679286,-4733.276099252455,-1476.800445492887
DSS 24,914.1888329999999,-2065.3052900293787,-4739.027510040219,-1485.0431725677645
DSS 24,974.1888329999999,-2046.270347822464,-4744.688201869438,-1493.2958303681658
DSS 24,1034.188833,-2027.212864557031,-4750.258066377783,-1501.5582609138896
DSS 24,1094.188833,-2008.1332050494957,-4755.736996941624,-1509.830306037655
DSS 24,1154.188833,-1989.0317345407934,-4761.124888678079,-1518.11180738813
DSS 24,1214.188833,-1969.9088186893869,-4766.421638447012,-1526.4026064329626
DSS 24,1274.188833,-1950.7648235642641,-4771.627144853019,-1534.7025444618157
DSS 24,1334.188833,-1931.6001156379348,-4776.741308247358,-1543.0114625894043
DSS 24,1394.188833,-1912.4150617794112,-4781.764030729864,-1551.329201758539
DSS 24,1454.188833,-1893.2100292471869,-4786.695216150822,-1559.6556027431684
DSS 24,1514.188833,-1873.9853856822074,-4791.534770112802,-1567.9905061514298
DSS 24,1574.188833,-1854.741499100829,-4796.2825999724755,-1576.3337524286976
DSS 24,1634.188833,-1835.4787378877782,-4800.938614842378,-1584.6851818606403
DSS 24,1694.188833,-1816.1974707890968,-4805.50272559266,-1593.0446345762757
DSS 24,1754.188833,-1796.898066905083,-4809.974844852784,-1601.4119505510334
DSS 24,1814.188833,-1777.580895683228,-4814.354887013204,-1609.7869696098157
DSS 24,1874.188833,-1758.2463269111413,-4818.642768226998,-1618.1695314300664
DSS 24,1934.1888330000002,-1738.8947307094722,-4822.838406411477,-1626.5594755448378
DSS 24,1994.1888330000002,-1719.5264775248274,-4826.941721249757,-1634.956641345864
DSS 24,2054.188833,-1700.1419381226747,-4830.952634192295,-1643.360868086634
DSS 24,2114.188833,-1680.7414835802504,-4834.871068458392,-1651.77199488547
DSS 24,2174.188833,-1661.325485279452,-4838.696949037661,-1660.1898607286064
DSS 24,2234.188833,-1641.8943148997312,-4842.430202691472,-1668.614304473273
DSS 24,2294.188833,-1622.4483444109774,-4846.070757954341,-1677.0451648507787
DSS 24,2354.188833,-1602.9879460663974,-4849.618545135307,-1685.4822804695998
DSS 24,2414.188833,-1583.5134923953915,-4853.073496319263,-1693.9254898184677
DSS 24,2474.188833,-1564.0253561964187,-4856.435545368257,-1702.374631269463
DSS 24,2534.188833,-1544.5239105298624,-4859.70462792276,-1710.8295430811072
DSS 24,2594.188833,-1525.0095287108884,-4862.880681402892,-1719.2900634014613
DSS 24,2654.188833,-1505.4825843022986,-4865.963645009624,-1727.7560302712222
DSS 24,2714.188833,-1485.94345110738,-4868.953459725948,-1736.227281626824
DSS 24,2774.188833,-1466.392503162749,-4871.85006831799,-1744.70365530354
DSS 24,2834.188833,-1446.830114731191,-4874.653415336126,-1753.1849890385872
DSS 24,2918.3479217999998,-1419.3723397036176,-4878.428282354025,-1765.0893919414054
DSS 24,2978.3479217999998,-1399.7839949392137,-4881.007338364529,-1773.5819791244749
DSS 24,3038.3479217999998,-1380.1854847711113,-4883.492957503976,-1782.078973549616
DSS 24,3098.3479217999998,-1360.5771843725765,-4885.88509219029,-1790.580212559304
DSS 24,3158.3479217999998,-1340.95946910429,-4888.183696630961,-1799.0855334147604
DSS 24,3218.3479217999998,-1321.3327145071607,-4890.3887268239205,-1807.5947732990678
DSS 24,3278.3479217999998,-1301.6972962951368,-4892.500140558392,-1816.1077693202872
DSS 24,3338.3479217999998,-1282.0535903480136,-4894.517897415689,-1824.6243585145758
DSS 24,3398.3479217999998,-1262.4019727042382,-4896.441958769999,-1833.1443778493071
DSS 24,3458.3479217999998,-1242.742819553711,-4898.272287789113,-1841.667664226192
DSS 24,3518.3479217999998,-1223.076507230584,-4900.0088494351385,-1850.1940544843999
DSS 24,3578.3479217999998,-1203.403412206057,-4901.6516104651655,-1858.7233854036826
DSS 24,3638.3479217999998,-1183.7239110811702,-4903.200539431904,-1867.2554937075004
DSS 24,3698.3479217999998,-1164.038380579596,-4904.655606684288,-1875.7902160661447
DSS 24,3758.3479217999998,-1144.3471975404282,-4906.016784368037,-1884.3273890998662
DSS 24,3818.3479217999998,-1124.6507389109634,-4907.284046426203,-1892.8668493820041
DSS 24,3878.3479217999998,-1104.949381739491,-4908.457368599648,-1901.4084334421113
DSS 24,3938.3479217999998,-1085.243503168073,-4909.536728427531,-1909.951977769086
DSS 24,3998.3479217999998,-1065.533480425324,-4910.522105247719,-1918.4973188143008
DSS 24,4058.3479217999998,-1045.8196908191894,-4911.413480197196,-1927.044292994734
DSS 24,4118.3479218,-1026.1025117297245,-4912.210836212418,-1935.592736696101
DSS 24,4178.3479218,-1006.3823206018686,-4912.914158029639,-1944.1424862759861
DSS 24,4238.3479218,-986.659494938221,-4913.523432185208,-1952.6933780669751
DSS 24,4298.3479218,-966.9344122918129,-4914.038647015817,-1961.2452483797892
DSS 24,4358.3479218,-947.207450258882,-4914.4597926587385,-1969.7979335064165
DSS 24,4418.3479218,-927.4789864716419,-4914.786861052004,-1978.3512697232484
DSS 24,4478.3479218,-907.7493985910543,-4915.0198459345565,-1986.905093294212
DSS 24,4538.3479218,-888.0190642996007,-4915.158742846382,-1995.4592404739046
DSS 24,4598.3479218,-868.288361294049,-4915.203549128582,-2004.01354751073
