Time (min),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z,Slant Distance (km)
0.0,0.0,0,-2352.2848309999995,-4641.625137,-1360.622309,3689.773564,4222.72217,3028.891599,11590.985944958848
8.236480545,0.0,0,-2197.888183726043,-4696.868823202116,-1427.5614507967312,2319.817224,4865.712767,3698.167005,11752.689948383473
9.236480545,0.0,0,-2179.021206664524,-4703.162175030847,-1435.7412867911994,1865.808701,4981.749611,3862.256016,11756.99539446705
10.23648055,0.0,0,-2160.129147207138,-4709.36549450008,-1443.9319973356214,1402.384261,5072.667625,4006.812686,11751.182550601605
11.23648055,0.0,0,-2141.212367192523,-4715.478662797956,-1452.1334255537424,932.0104707,5138.4804,4131.480818,11735.499812255905
12.23648055,0.0,0,-2122.2712286492224,-4721.501562931653,-1460.3454144869722,457.1066771,5179.368385,4236.050692,11710.223939298654
13.23648055,0.0,0,-2103.306094166472,-4727.4340796051065,-1468.5678069336316,-19.97676063,5195.6658,4320.451362,11675.654811224655
14.23648055,0.0,0,-2084.31732679286,-4733.276099252455,-1476.800445492887,-496.9769412,5187.846254,4384.741366,11632.11032684177
15.23648055,0.0,0,-2065.3052900293787,-4739.027510040219,-1485.0431725677645,-971.7335203,5156.50757,4429.098291,11579.921544939201
16.23648055,0.0,0,-2046.270347822464,-4744.688201869438,-1493.2958303681658,-1442.200491,5102.356322,4453.807591,11519.428169463861
17.23648055,0.0,0,-2027.212864557031,-4750.258066377783,-1501.5582609138896,-1906.454806,5026.192483,4459.251039,11450.974428539937
18.23648055,0.0,0,-2008.133205049496,-4755.736996941624,-1509.830306037655,-2362.702095,4928.894567,4445.895151,11374.905421436324
19.23648055,0.0,0,-1989.0317345407932,-4761.124888678079,-1518.11180738813,-2809.27978,4811.405518,4414.27986,11291.563936769438
20.23648055,0.0,0,-1969.9088186893869,-4766.421638447012,-1526.4026064329626,-3244.657942,4674.719569,4365.00765,11201.287757929385
21.23648055,0.0,0,-1950.764823564264,-4771.627144853019,-1534.7025444618157,-3667.438274,4519.870184,4298.733329,11104.407432965749
22.23648055,0.0,0,-1931.6001156379348,-4776.741308247358,-1543.0114625894043,-4076.35148,4347.919174,4216.154538,11001.244491127558
23.23648055,0.0,0,-1912.4150617794112,-4781.764030729864,-1551.329201758539,-4470.253434,4159.946995,4118.003068,10892.110061461397
24.23648055,0.0,0,-1893.2100292471869,-4786.695216150822,-1559.6556027431684,-4848.120379,3957.044221,4005.037018,10777.303859649515
25.23648055,0.0,0,-1873.9853856822076,-4791.534770112802,-1567.9905061514298,-5209.043443,3740.304141,3878.033793,10657.113498401273
26.23648055,0.0,0,-1854.741499100829,-4796.282599972476,-1576.3337524286976,-5552.222675,3510.816431,3737.783925,10531.814090937645
27.23648055,0.0,0,-1835.4787378877784,-4800.938614842378,-1584.6851818606403,-5876.960802,3269.661807,3585.085678,10401.668096370284
28.23648055,0.0,0,-1816.1974707890968,-4805.50272559266,-1593.0446345762757,-6182.656865,3017.907591,3420.740395,10266.925389125232
29.23648055,0.0,0,-1796.898066905083,-4809.974844852784,-1601.4119505510334,-6468.799851,2756.604091,3245.548528,10127.823505243166
30.23648055,0.0,0,-1777.580895683228,-4814.354887013204,-1609.7869696098155,-6734.962443,2486.781712,3060.3063,9984.58805309372
31.23648055,0.0,0,-1758.2463269111413,-4818.642768226998,-1618.1695314300664,-6980.794954,2209.448722,2865.802933,9837.433263767329
32.23648055,0.0,0,-1738.8947307094722,-4822.838406411477,-1626.5594755448378,-7206.019509,1925.589567,2662.818384,9686.56264500851
33.23648055,0.0,0,-1719.5264775248274,-4826.941721249757,-1634.956641345864,-7410.424523,1636.163691,2452.121533,9532.169749698101
34.23648055,0.0,0,-1700.141938122675,-4830.952634192295,-1643.360868086634,-7593.859503,1342.104762,2234.468776,9374.439028538452
35.23648055,0.0,0,-1680.7414835802504,-4834.871068458392,-1651.77199488547,-7756.230186,1044.320257,2010.602951,9213.546757835704
36.23648055,0.0,0,-1661.325485279452,-4838.696949037661,-1660.1898607286064,-7897.494034,743.6913444,1781.25258,9049.662054442104
37.23648055,0.0,0,-1641.8943148997312,-4842.430202691472,-1668.614304473273,-8017.65607,441.0730108,1547.131351,8882.94795017224
38.23648055,0.0,0,-1622.4483444109774,-4846.070757954341,-1677.0451648507787,-8116.765072,137.2943871,1308.937834,8713.562554811377
39.23648055,0.0,0,-1602.9879460663974,-4849.618545135307,-1685.4822804695998,-8194.910096,-166.8407631,1067.355371,8541.660290719681
40.23648055,0.0,0,-1583.5134923953915,-4853.073496319263,-1693.9254898184677,-8252.217328,-470.5534292,823.0521261,8367.393220396974
41.23648055,0.0,0,-1564.025356196419,-4856.435545368257,-1702.374631269463,-8288.847247,-773.088643,576.6812584,8190.912472755923
42.23648055,0.0,0,-1544.5239105298624,-4859.70462792276,-1710.8295430811072,-8304.992087,-1073.714697,328.8811994,8012.369788964238
