Antenna,Time (sec),X,Y,Z
DSS 24,0.0,-2352.284831,-4641.625137,-1360.6223090000003
DSS 24,494.1888326999999,-2197.8881837260433,-4696.868823202116,-1427.5614507967316
DSS 24,554.1888326999999,-2179.021206664524,-4703.162175030847,-1435.7412867911999
DSS 24,614.1888329999999,-2160.129147207138,-4709.36549450008,-1443.9319973356219
DSS 24,674.1888329999999,-2141.2123671925233,-4715.478662797956,-1452.1334255537427
DSS 24,734.1888329999999,-2122.2712286492224,-4721.501562931653,-1460.3454144869725
DSS 24,794.1888329999999,-2103.306094166472,-4727.4340796051065,-1468.5678069336318
DSS 24,854.1888329999999,-2084.3173267928605,-4733.276099252455,-1476.8004454928875
DSS 24,914.1888329999999,-2065.3052900293787,-4739.027510040219,-1485.043172567765
DSS 24,974.1888329999999,-2046.2703478224644,-4744.688201869438,-1493.2958303681662
DSS 24,1034.188833,-2027.2128645570315,-4750.258066377783,-1501.55826091389
DSS 24,1094.188833,-2008.1332050494962,-4755.736996941624,-1509.8303060376552
DSS 24,1154.188833,-1989.0317345407939,-4761.124888678079,-1518.1118073881305
DSS 24,1214.188833,-1969.9088186893873,-4766.421638447012,-1526.402606432963
DSS 24,1274.188833,-1950.7648235642646,-4771.627144853019,-1534.702544461816
DSS 24,1334.188833,-1931.6001156379352,-4776.741308247358,-1543.0114625894048
DSS 24,1394.188833,-1912.4150617794116,-4781.764030729864,-1551.3292017585395
DSS 24,1454.188833,-1893.2100292471873,-4786.695216150822,-1559.6556027431689
DSS 24,1514.188833,-1873.9853856822076,-4791.534770112802,-1567.99050615143
DSS 24,1574.188833,-1854.7414991008295,-4796.2825999724755,-1576.333752428698
DSS 24,1634.188833,-1835.4787378877786,-4800.938614842378,-1584.6851818606406
DSS 24,1694.188833,-1816.1974707890972,-4805.50272559266,-1593.0446345762762
DSS 24,1754.188833,-1796.8980669050834,-4809.974844852784,-1601.4119505510337
DSS 24,1814.188833,-1777.5808956832284,-4814.354887013204,-1609.786969609816
DSS 24,1874.188833,-1758.2463269111415,-4818.642768226998,-1618.1695314300669
DSS 24,1934.1888330000002,-1738.8947307094727,-4822.838406411477,-1626.5594755448383
