Time (min),Available Satellite,Link Budget (kbps),Satellite X,Satellite Y,Satellite Z
0.0,DSS24,10000.0,3689.773564,4222.72217,3028.891599
8.236480545,DSS24,0.0,2319.817224,4865.712767,3698.167005
9.236480545,DSS24,10000.0,1865.808701,4981.749611,3862.256016
10.23648055,DSS24,10000.0,1402.384261,5072.667625,4006.812686
11.23648055,DSS24,10000.0,932.0104707,5138.4804,4131.480818
12.23648055,DSS24,10000.0,457.1066771,5179.368385,4236.050692
13.23648055,DSS24,10000.0,-19.97676063,5195.6658,4320.451362
14.23648055,DSS24,10000.0,-496.9769412,5187.846254,4384.741366
15.23648055,DSS24,10000.0,-971.7335203,5156.50757,4429.098291
16.23648055,DSS24,10000.0,-1442.200491,5102.356322,4453.807591
17.23648055,DSS24,10000.0,-1906.454806,5026.192483,4459.251039
18.23648055,DSS24,10000.0,-2362.702095,4928.894567,4445.895151
19.23648055,DSS24,10000.0,-2809.27978,4811.405518,4414.27986
20.23648055,DSS24,10000.0,-3244.657942,4674.719569,4365.00765
21.23648055,DSS24,10000.0,-3667.438274,4519.870184,4298.733329
22.23648055,DSS24,0.0,-4076.35148,4347.919174,4216.154538
23.23648055,DSS24,0.0,-4470.253434,4159.946995,4118.003068
24.23648055,DSS24,0.0,-4848.120379,3957.044221,4005.037018
25.23648055,DSS24,0.0,-5209.043443,3740.304141,3878.033793
26.23648055,DSS24,0.0,-5552.222675,3510.816431,3737.783925
27.23648055,DSS24,0.0,-5876.960802,3269.661807,3585.085678
28.23648055,DSS24,0.0,-6182.656865,3017.907591,3420.740395
29.23648055,DSS24,0.0,-6468.799851,2756.604091,3245.548528
30.23648055,DSS24,0.0,-6734.962443,2486.781712,3060.3063
31.23648055,DSS24,0.0,-6980.794954,2209.448722,2865.802933
32.23648055,DSS24,0.0,-7206.019509,1925.589567,2662.818384
33.23648055,DSS24,0.0,-7410.424523,1636.163691,2452.121533
34.23648055,DSS24,0.0,-7593.859503,1342.104762,2234.468776
35.23648055,DSS24,0.0,-7756.230186,1044.320257,2010.602951
36.23648055,DSS24,0.0,-7897.494034,743.6913444,1781.25258
37.23648055,DSS24,0.0,-8017.65607,441.0730108,1547.131351
38.23648055,DSS24,0.0,-8116.765072,137.2943871,1308.937834
39.23648055,DSS24,0.0,-8194.910096,-166.8407631,1067.355371
40.23648055,DSS24,0.0,-8252.217328,-470.5534292,823.0521261
41.23648055,DSS24,0.0,-8288.847247,-773.088643,576.6812584
42.23648055,DSS24,0.0,-8304.992087,-1073.714697,328.8811994
43.23648055,DSS24,0.0,-8300.87358,-1371.722312,80.27601373
44.23648055,DSS24,0.0,-8276.740968,-1666.42378,-168.5241763
45.23648055,DSS24,0.0,-8232.869254,-1957.152085,-416.9227173
46.23648055,DSS24,0.0,-8169.557709,-2243.260027,-664.3359157
47.23648055,DSS24,0.0,-8087.128576,-2524.119362,-910.1925063
48.63913203,DSS24,0.0,-7939.798306,-2908.441304,-1251.694232
49.63913203,DSS24,0.0,-7812.08519,-3176.120857,-1493.237622
50.63913203,DSS24,0.0,-7666.514452,-3436.54064,-1731.362087
51.63913203,DSS24,0.0,-7503.504192,-3689.143523,-1965.541578
52.63913203,DSS24,0.0,-7323.493029,-3933.388136,-2195.260178
53.63913203,DSS24,0.0,-7126.939801,-4168.748373,-2420.011724
54.63913203,DSS24,0.0,-6914.323412,-4394.712944,-2639.299462
