Antenna,Time (sec),X,Y,Z
DSS 24,0.0,6132.732565999999,5437.728124,3689.8295680000006
DSS 24,494.1888326999999,5950.505743210296,5584.040250212012,3768.8345680777793
DSS 24,554.1888326999999,5928.055410163097,5601.31423854407,3778.567979092617
DSS 24,614.1888329999999,5905.535950331192,5618.481001292899,3788.3313602377975
DSS 24,674.1888329999999,5882.947795028631,5635.540209664381,3798.124524515788
DSS 24,734.1888329999999,5860.291376546876,5652.491537181074,3807.9472845052924
DSS 24,794.1888329999999,5837.567128596576,5669.334659344591,3817.7994521697246
DSS 24,854.1888329999999,5814.7754861868325,5686.0692537279165,3827.6808389095486
DSS 24,914.1888329999999,5791.91688561688,5702.694999981575,3837.5912555658892
DSS 24,974.1888329999999,5768.991764467724,5719.211579839767,3847.5305124241527
DSS 24,1034.188833,5746.000561593777,5735.6186771264565,3857.498419217659
DSS 24,1094.188833,5722.943717114442,5751.91597776143,3867.4947851312836
DSS 24,1154.188833,5699.821672405704,5768.103169766304,3877.519418805111
DSS 24,1214.188833,5676.634870091668,5784.179943270499,3887.572128338097
DSS 24,1274.188833,5653.383754036091,5800.145990517172,3897.652721291744
DSS 24,1334.188833,5630.068769333886,5816.001005869104,3907.761004693781
DSS 24,1394.188833,5606.690362302599,5831.7446858145595,3917.8967850418626
DSS 24,1454.188833,5583.248980473867,5847.376728973084,3928.0598683072685
DSS 24,1514.188833,5559.74507258485,5862.896836101287,3938.250059938623
DSS 24,1574.188833,5536.179088569641,5878.304710098558,3948.467164865614
DSS 24,1634.188833,5512.551479550654,5893.600056012761,3958.710987502729
DSS 24,1694.188833,5488.862697829985,5908.782581045884,3968.981331753003
DSS 24,1754.188833,5465.11319688076,5923.851994559632,3979.2780010117663
DSS 24,1814.188833,5441.303431338445,5938.808008081003,3989.6007981704115
DSS 24,1874.188833,5417.433856992151,5953.650335307803,3999.949525620167
DSS 24,1934.1888330000002,5393.504930775905,5968.378692114131,4010.3239852558777
DSS 24,1994.1888330000002,5369.517110759905,5982.992796555812,4020.7239784798003
DSS 24,2054.188833,5345.47085614175,5997.492368875802,4031.1493062054014
DSS 24,2114.188833,5321.366627237646,6011.877131509536,4041.599768861172
DSS 24,2174.188833,5297.204885473602,6026.14680909025,4052.0751663944457
DSS 24,2234.188833,5272.98609337659,6040.301128454241,4062.5752982752297
DSS 24,2294.188833,5248.710714565696,6054.339818646108,4073.0999635000417
DSS 24,2354.188833,5224.379213743241,6068.262610923928,4083.6489605957604
DSS 24,2414.188833,5199.9920566858855,6082.069238764411,4094.222087623479
DSS 24,2474.188833,5175.549710235717,6095.759437867993,4104.819142182375
DSS 24,2534.188833,5151.05264229131,6109.3329461639005,4115.439921413579
DSS 24,2594.188833,5126.501321798767,6122.789503815166,4126.084222004065
DSS 24,2654.188833,5101.89621874275,6136.128853223603,4136.751840190538
DSS 24,2714.188833,5077.23780413747,6149.350739034735,4147.442571763333
DSS 24,2774.188833,5052.5265500176865,6162.454908142686,4158.156212070328
DSS 24,2834.188833,5027.762929429658,6175.441109695024,4168.892556020863
DSS 24,2894.188833,5002.947416422092,6188.309095097566,4179.651398089658
DSS 24,2918.3479217999998,4992.940866893083,6193.456969636883,4183.989768447078
DSS 24,2978.3479217999998,4968.053367594908,6206.158724416447,4194.779820393806
DSS 24,3038.3479217999998,4943.115118894248,6218.741675020503,4205.591874900233
DSS 24,3098.3479217999998,4918.126598182712,6231.205580574279,4216.425724991757
DSS 24,3158.3479217999998,4893.088283814258,6243.550202481877,4227.281163276549
DSS 24,3218.3479217999998,4868.0006550960425,6255.775304430836,4238.157981949513
DSS 24,3278.3479217999998,4842.864192279245,6267.8806523966605,4249.055972796272
DSS 24,3338.3479217999998,4817.679376549875,6279.866014647304,4259.9749271971505
DSS 24,3398.3479217999998,4792.446690019555,6291.731161747595,4270.9146361311705
DSS 24,3458.3479217999998,4767.166615716298,6303.4758665636355,4281.874890180047
DSS 24,3518.3479217999998,4741.839637575264,6315.09990426715,4292.855479532207
DSS 24,3578.3479217999998,4716.4662404294795,6326.603052339786,4303.856193986794
DSS 24,3638.3479217999998,4691.046910000578,6337.985090577373,4314.8768229577
DSS 24,3698.3479217999998,4665.582132889485,6349.245801094142,4325.917155477597
DSS 24,3758.3479217999998,4640.072396567113,6360.3849683268945,4336.976980201967
DSS 24,3818.3479217999998,4614.518189365026,6371.402379039129,4348.05608541316
DSS 24,3878.3479217999998,4588.920000466089,6382.297822325121,4359.154259024437
DSS 24,3938.3479217999998,4563.278319895107,6393.071089613964,4370.271288584035
DSS 24,3998.3479217999998,4537.59363850945,6403.721974673559,4381.406961279231
DSS 24,4058.3479217999998,4511.866447989643,6414.250273614563,4392.5610639404185
DSS 24,4118.3479218,4486.097240829962,6424.655784894297,4403.733383045189
DSS 24,4178.3479218,4460.286510329008,6434.938309320593,4414.923704722413
DSS 24,4238.3479218,4434.434750580262,6445.097650055619,4426.131814756343
DSS 24,4298.3479218,4408.542456462621,6455.133612619642,4437.357498590708
DSS 24,4358.3479218,4382.610123630933,6465.046004894747,4448.600541332823
DSS 24,4418.3479218,4356.638248506507,6474.834637128524,4459.860727757702
DSS 24,4478.3479218,4330.627328267602,6484.49932193769,4471.137842312179
DSS 24,4538.3479218,4304.577860839921,6494.0398743116875,4482.4316691190315
DSS 24,4598.3479218,4278.490344887071,6503.45611161621,4493.741991981119
DSS 24,4658.3479218,4252.365279801021,6512.747853596718,4505.068594385516
DSS 24,4718.3479218,4226.20316569254,6521.914922381875,4516.411259507657
DSS 24,4778.3479218,4200.004503381628,6530.9571424869555,4527.769770215491
DSS 24,4838.3479218,4173.7697943879175,6539.8743408172095,4539.143909073635
DSS 24,4898.3479218,4147.4995409210915,6548.666346671168,4550.533458347537
DSS 24,4958.3479218,4121.194245871251,6557.3329917439205,4561.938200007644
DSS 24,5018.3479218,4094.8544127993,6565.874110130327,4573.357915733575
DSS 24,5078.3479218,4068.4805459272993,6574.289538328201,4584.792386918305
DSS 24,5138.3479218,4042.073150128819,6582.579115241433,4596.241394672343
DSS 24,5198.3479218,4015.6327309192725,6590.742682183083,4607.704719827923
DSS 24,5258.3479218,3989.159794446235,6598.780082878413,4619.1821429432075
DSS 24,5318.3479218,3962.654847479762,6606.6911634678745,4630.673444306478
DSS 24,5378.3479218,3936.1183974026826,6614.475772510061,4642.1784039403465
DSS 24,5438.3479218,3909.550952200887,6622.133760984604,4653.696801605966
DSS 24,5498.3479218,3882.9530204536068,6629.664982295028,4665.2284168072465
DSS 24,5558.3479218,3856.325111323672,6637.0692922715525,4676.773028795073
DSS 24,5618.3479218,3829.66773454777,6644.3465491738525,4688.330416571536
DSS 24,5678.3479218,3802.981400426688,6651.496613693777,4699.90035889416
DSS 24,5738.3479218,3776.2666198155375,6658.519348958011,4711.482634280135
DSS 24,5798.3479218,3749.523904113984,6665.414620530696,4723.077021010566
DSS 24,5858.3479218,3722.7537652564497,6672.182296416006,4734.683297134703
DSS 24,5918.3479218,3695.9567157023193,6678.822247060669,4746.301240474206
DSS 24,5978.3479218,3669.1332684261256,6685.334345356454,4757.930628627384
DSS 24,6006.493955999999,3656.5414235500707,6688.3450838318,4763.389861742369
DSS 24,6066.493955999999,3629.6801267936457,6694.669128769117,4775.035659654237
DSS 24,6126.493955999999,3602.7937010444725,6700.865018001521,4786.69235231828
DSS 24,6186.493955999999,3575.8826609880084,6706.932632921424,4798.359716591034
DSS 24,6246.493955999999,3548.9475217809013,6712.871857376786,4810.037529124748
DSS 24,6306.493955999999,3521.988799041128,6718.682577673341,4821.725566371661
DSS 24,6366.493955999999,3495.007008838124,6724.364682576771,4833.42360458828
DSS 24,6426.493955999999,3468.002667682903,6729.918063314835,4845.131419839664
DSS 24,6486.493955999999,3440.9762925181726,6735.342613579456,4856.848788003712
DSS 24,6546.493955999999,3413.928400708434,6740.638229528745,4868.575484775451
DSS 24,6606.493955999999,3386.859510030082,6745.804809789001,4880.311285671329
DSS 24,6666.493955999999,3359.77013866149,6750.842255456645,4892.05596603352
DSS 24,6726.493955999999,3332.6608051730936,6755.750470100116,4903.809301034213
DSS 24,6786.493955999999,3305.5320285174616,6760.529359761715,4915.571065679924
DSS 24,6846.493955999999,3278.3843280193637,6765.178832959403,4927.341034815801
DSS 24,6906.493955999999,3251.218223365825,6769.698800688555,4939.118983129934
DSS 24,6966.493955999999,3224.034234596182,6774.089176423664,4950.904685157668
DSS 24,7026.493955999999,3196.832882092127,6778.3498761199935,4962.697915285916
DSS 24,7085.66796,3169.989500576313,6782.424830410708,4974.335945990058
DSS 24,7145.66796,3142.755204227841,6786.427723761649,4986.143459023484
DSS 24,7205.66796,3115.505100065231,6790.300704877638,4997.9578255834
DSS 24,7265.66796,3088.2397097358175,6794.043699618397,5009.778819507999
DSS 24,7325.66796,3060.959555179559,6797.656636331973,5021.606214508603
DSS 24,7385.66796,3033.665158619043,6801.139445856101,5033.439784174004
DSS 24,7445.66796,3006.3570425494904,6804.492061519541,5045.279301974788
DSS 24,7505.66796,2979.035729728755,6807.7144191433445,5057.124541267679
DSS 24,7565.66796,2951.7017431673166,6810.806457042087,5068.975275299873
DSS 24,7625.66796,2924.3556061182644,6813.768116025044,5080.831277213381
DSS 24,7685.667960000001,2896.9978420672865,6816.599339397335,5092.692320049373
DSS 24,7745.667960000001,2869.6289747226465,6819.300072960996,5104.558176752518
DSS 24,7805.667960000001,2842.2495280051544,6821.870265016021,5116.428620175336
DSS 24,7865.667960000001,2814.860026038144,6824.309866361359,5128.3034230825415
DSS 24,7925.667960000001,2787.460993137436,6826.618830295849,5140.182358155396
DSS 24,7985.667960000001,2760.052953801299,6828.7971126191105,5152.065197996061
DSS 24,8045.667960000001,2732.636432700412,6830.844671632401,5163.951715131948
DSS 24,8105.667960000001,2705.2119546678223,6832.761468139401,5175.841682020073
DSS 24,8165.667960000001,2677.7800446888928,6834.547465446976,5187.734871051415
DSS 24,8225.66796,2650.341227891259,6836.20262936587,5199.631054555273
DSS 24,8285.66796,2622.8960295347715,6837.726928211369,5211.53000480362
DSS 24,8345.66796,2595.4449750014423,6839.120332803897,5223.431494015466
DSS 24,8405.66796,2567.988589785389,6840.382816469582,5235.335294361221
DSS 24,8465.66796,2540.5273994827744,6841.514355040764,5247.241177967048
DSS 24,8525.66796,2513.061929781745,6842.51492685646,5259.148916919235
DSS 24,8585.66796,2485.5927064523653,6843.384512762774,5271.058283268549
DSS 24,8645.66796,2458.1202553365574,6844.12309611327,5282.969049034607
DSS 24,8705.66796,2430.6451023380323,6844.7306627692815,5294.880986210237
DSS 24,8765.66796,2403.167773412223,6845.207201100195,5306.793866765839
DSS 24,8825.66796,2375.6887945562166,6845.552701983662,5318.70746265376
DSS 24,8885.66796,2348.2086917986844,6845.767158805775,5330.621545812646
DSS 24,8945.66796,2320.7279911898113,6845.850567461197,5342.535888171822
DSS 24,9005.66796,2293.247218791228,6845.802926353243,5354.450261655647
DSS 24,9065.66796,2265.7669006659403,6845.6242363939045,5366.364438187888
DSS 24,9125.66796,2238.287562868255,6845.3145010038315,5378.278189696078
DSS 24,9185.66796,2210.8097314337174,6844.873726112275,5390.191288115887
DSS 24,9245.66796,2183.333932369032,6844.301920156965,5402.103505395489
DSS 24,9305.66796,2155.8606916419985,6843.599094083954,5414.014613499925
DSS 24,9365.66796,2128.3905351714443,6842.765261347403,5425.924384415469
DSS 24,9425.66796,2100.923988817155,6841.800437909333,5437.832590153991
