Time (min),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
0.0,91276637.74934734,1,4864.017169,6370.239083,4136.510118999999,3689.773564,4222.72217,3028.891599
8.236480545,0.0,0,4651.764510802412,6467.605530931369,4228.532912465269,2319.817224,4865.712767,3698.167005
9.236480545,8186281.405661901,1,4625.779423874987,6478.857583594584,4239.798826908015,1865.808701,4981.749611,3862.256016
10.23648055,8186281.405661901,1,4599.749417340665,6489.985611877463,4251.084216384635,1402.384261,5072.667625,4006.812686
11.23648055,8186281.405661901,1,4573.674989750815,6500.989402645456,4262.388864746646,932.0104707,5138.4804,4131.480818
12.23648055,8186281.405661901,1,4547.556640116817,6511.868745309515,4273.712555646129,457.1066771,5179.368385,4236.050692
13.23648055,8186281.405661901,1,4521.394868420888,6522.623431606948,4285.055072314254,-19.97676063,5195.6658,4320.451362
14.23648055,8186281.405661901,1,4495.190175476469,6533.253255661349,4296.416197621813,-496.9769412,5187.846254,4384.741366
15.23648055,8186281.405661901,1,4468.943062918643,6543.758013986546,4307.795714083369,-971.7335203,5156.50757,4429.098291
16.23648055,8186281.405661901,1,4442.654033194527,6554.137505490496,4319.193403861428,-1442.200491,5102.356322,4453.807591
17.23648055,8186281.405661901,1,4416.32358955366,6564.391531479128,4330.609048770604,-1906.454806,5026.192483,4459.251039
18.23648055,8186281.405661901,1,4389.952236038362,6574.519895660152,4342.042430281798,-2362.702095,4928.894567,4445.895151
19.23648055,8186281.405661901,1,4363.540477474087,6584.522404146817,4353.493329526377,-2809.27978,4811.405518,4414.27986
20.23648055,8186281.405661901,1,4337.088819459767,6594.398865461623,4364.961527300371,-3244.657942,4674.719569,4365.00765
21.23648055,8186281.405661901,1,4310.597768358122,6604.149090539979,4376.446804068662,-3667.438274,4519.870184,4298.733329
22.23648055,0.0,0,4284.067831285972,6613.77289273383,4387.94893996919,-4076.35148,4347.919174,4216.154538
23.23648055,0.0,0,4257.499516104532,6623.27008781523,4399.467714817163,-4470.253434,4159.946995,4118.003068
24.23648055,0.0,0,4230.893331409685,6632.640493979864,4411.002908109271,-4848.120379,3957.044221,4005.037018
25.23648055,0.0,0,4204.249786522248,6641.8839318505325,4422.554299027903,-5209.043443,3740.304141,3878.033793
26.23648055,0.0,0,4177.569391478223,6651.000224480581,4434.121666445382,-5552.222675,3510.816431,3737.783925
27.23648055,0.0,0,4150.852657019033,6659.989197357292,4445.704788928191,-5876.960802,3269.661807,3585.085678
28.23648055,0.0,0,4124.100094581746,6668.8506784052215,4457.303444741216,-6182.656865,3017.907591,3420.740395
29.23648055,0.0,0,4097.312216289278,6677.584497989496,4468.917411851987,-6468.799851,2756.604091,3245.548528
30.23648055,0.0,0,4070.489534940599,6686.190488919061,4480.546467934933,-6734.962443,2486.781712,3060.3063
31.23648055,0.0,0,4043.632564000911,6694.668486449875,4492.190390375636,-6980.794954,2209.448722,2865.802933
32.23648055,0.0,0,4016.741817591819,6703.018328288071,4503.848956275089,-7206.019509,1925.589567,2662.818384
33.23648055,0.0,0,3989.817810481493,6711.239854593057,4515.521942453969,-7410.424523,1636.163691,2452.121533
34.23648055,0.0,0,3962.861058074807,6719.332907980582,4527.209125456906,-7593.859503,1342.104762,2234.468776
35.23648055,0.0,0,3935.8720764034783,6727.297333525743,4538.910281556759,-7756.230186,1044.320257,2010.602951
36.23648055,0.0,0,3908.851382116188,6735.132978765952,4550.625186758902,-7897.494034,743.6913444,1781.25258
37.23648055,0.0,0,3881.799492468688,6742.83969370386,4562.353616805509,-8017.65607,441.0730108,1547.131351
38.23648055,0.0,0,3854.7169253139054,6750.417330810219,4574.095347179854,-8116.765072,137.2943871,1308.937834
39.23648055,0.0,0,3827.60419909202,6757.865745026716,4585.850153110597,-8194.910096,-166.8407631,1067.355371
40.23648055,0.0,0,3800.4618328205497,6765.184793768742,4597.617809576096,-8252.217328,-470.5534292,823.0521261
41.23648055,0.0,0,3773.290346084407,6772.374336928125,4609.3980913087125,-8288.847247,-773.088643,576.6812584
42.23648055,0.0,0,3746.0902590259584,6779.4342368758125,4621.190772799123,-8304.992087,-1073.714697,328.8811994
43.23648055,0.0,0,3718.8620923350622,6786.364358464504,4632.995628300634,-8300.87358,-1371.722312,80.27601373
44.23648055,0.0,0,3691.6063672391065,6793.164569031242,4644.8124318335085,-8276.740968,-1666.42378,-168.5241763
45.23648055,0.0,0,3664.323605493027,6799.834738399945,4656.640957189287,-8232.869254,-1957.152085,-416.9227173
