Time (sec),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
0.0,11370100.204070952,1,6290.419855,5112.81574,3920.380631,3690.0,4220.0,3030.0
494.1888326999999,0.0,0,6118.901777254548,5261.247177631497,3994.74282169274,2320.0,4870.0,3700.0
554.1888326999999,0.0,0,6097.746638327152,5278.80706852708,4003.914697309169,1870.0,4980.0,3860.0
614.1888329999999,0.0,0,6076.521212549387,5296.265907578987,4013.117046005983,1400.0,5070.0,4010.0
674.1888329999999,0.0,0,6055.225906450734,5313.623360398977,4022.349691531071,932.0,5140.0,4130.0
734.1888329999999,0.0,0,6033.861127580185,5330.879094801775,4031.612457190314,457.0,5180.0,4240.0
794.1888329999999,0.0,0,6012.427284922596,5348.03278046175,4040.905165667069,-20.0,5200.0,4320.0
854.1888329999999,0.0,0,5990.92478878491,5365.084089006784,4050.227639071496,-497.0,5190.0,4380.0
914.188833,0.0,0,5969.354050788297,5382.03269402456,4059.579698943971,-972.0,5160.0,4430.0
974.188833,0.0,0,5947.71548386028,5398.878271068808,4068.961166258494,-1440.0,5100.0,4450.0
1034.188833,0.0,0,5926.009502226827,5415.620497665518,4078.371861426122,-1910.0,5030.0,4460.0
1094.188833,0.0,0,5904.23652140442,5432.259053319112,4087.811604298404,-2360.0,4930.0,4450.0
1154.188833,0.0,0,5882.396958192108,5448.793619518581,4097.280214170831,-2810.0,4810.0,4410.0
1214.188833,0.0,0,5860.491230663518,5465.223879743578,4106.777509786291,-3240.0,4670.0,4370.0
1274.188833,0.0,0,5838.519758158858,5481.549519470482,4116.303309338549,-3670.0,4520.0,4300.0
1334.188833,0.0,0,5816.482961276892,5497.770226178414,4125.857430475715,-4080.0,4350.0,4220.0
1394.188833,0.0,0,5794.381261866883,5513.8856893552265,4135.439690303743,-4470.0,4160.0,4120.0
1454.188833,0.0,0,5772.215083020519,5529.8956005034415,4145.049905389928,-4850.0,3960.0,4010.0
1514.188833,0.0,0,5749.984849063816,5545.799653146156,4154.687891766418,-5210.0,3740.0,3880.0
1574.188833,0.0,0,5727.69098554899,5561.597542832913,4164.353464933742,-5550.0,3510.0,3740.0
1634.188833,0.0,0,5705.333919246323,5577.28896714553,4174.046439864329,-5880.0,3270.0,3590.0
1694.188833,0.0,0,5682.914078135976,5592.873625703878,4183.766631006063,-6180.0,3020.0,3420.0
1754.188833,0.0,0,5660.431891399807,5608.351220171649,4193.513852285827,-6470.0,2760.0,3250.0
1814.188833,0.0,0,5637.887789413155,5623.7214542620495,4203.287917113069,-6730.0,2490.0,3060.0
1874.188833,0.0,0,5615.282203736597,5638.984033743485,4213.088638383371,-6980.0,2210.0,2870.0
1934.188833,0.0,0,5592.615567107693,5654.138666445186,4222.915828482033,-7210.0,1930.0,2660.0
1994.188833,0.0,0,5569.888313432695,5669.185062262799,4232.769299287663,-7410.0,1640.0,2450.0
2054.188833,0.0,0,5547.100877778243,5684.12293316395,4242.648862175778,-7590.0,1340.0,2230.0
