Time (min),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z,Slant Distance (km)
0.0,0.0,0,-4456.134903,2679.421696,2581.259956,3689.773564,4222.72217,3028.891599,8302.889568915498
8.236480545,0.0,0,-4541.658788341272,2493.38678665674,2618.3390998087943,2319.817224,4865.712767,3698.167005,7339.878195840577
9.236480545,0.0,0,-4551.622048007652,2470.574816839036,2622.6587017129864,1865.808701,4981.749611,3862.256016,7001.858165281974
10.23648055,0.0,0,-4561.493640140452,2447.715552820968,2626.93856087576,1402.384261,5072.667625,4006.812686,6660.500401781823
11.23648055,0.0,0,-4571.273375669579,2424.8094324248345,2631.1785953251947,932.0104707,5138.4804,4131.480818,6316.72779002987
12.23648055,0.0,0,-4580.961067431648,2401.856894027136,2635.378723916028,457.1066771,5179.368385,4236.050692,5971.502945690165
13.23648055,0.0,0,-4590.556529975677,2378.8583770071286,2639.538866245416,-19.97676063,5195.6658,4320.451362,5625.8395199795405
14.23648055,0.0,0,-4600.059579616223,2355.814321624234,2643.6589426759697,-496.9769412,5187.846254,4384.741366,5280.820012884034
15.23648055,0.0,0,-4609.470034436898,2332.725169009612,2647.738874337278,-971.7335203,5156.50757,4429.098291,4937.622440584219
16.23648055,0.0,0,-4618.787714293852,2309.591361157718,2651.778583127421,-1442.200491,5102.356322,4453.807591,4597.559250180075
17.23648055,0.0,0,-4628.012440819221,2286.4133409178385,2655.7779917144617,-1906.454806,5026.192483,4459.251039,4262.133355412128
18.23648055,7661324.213849837,0,-4637.144037424543,2263.191551985617,2659.7370235379285,-2362.702095,4928.894567,4445.895151,3933.1183010450513
19.23648055,9080729.299056567,0,-4646.182329304136,2239.9264388945567,2663.65560281028,-2809.27978,4811.405518,4414.27986,3612.672268526176
20.23648055,10859995.053283086,0,-4655.127143438446,2216.618447007517,2667.5336545183563,-3244.657942,4674.719569,4365.00765,3303.498518159729
21.23648055,13089241.11189626,0,-4663.978308597359,2193.268022508178,2671.371104424813,-3667.438274,4519.870184,4298.733329,3009.0658797022083
22.23648055,15856738.297807926,0,-4672.735655343476,2169.875612392511,2675.167879069546,-4076.35148,4347.919174,4216.154538,2733.8960704206725
23.23648055,19209291.577454016,0,-4681.399016035364,2146.4416644602115,2678.9239057710947,-4470.253434,4159.946995,4118.003068,2483.8951282384373
24.23648055,23068454.877363164,0,-4689.968224830756,2122.966627306133,2682.639112628033,-4848.120379,3957.044221,4005.037018,2266.625011705823
25.23648055,27099898.555403247,0,-4698.443117689732,2099.4509503117,2686.3134285203496,-5209.043443,3740.304141,3878.033793,2091.2458757196478
