Time (sec),Link Budget (kbps),Antenna X,Antenna Y,Antenna Z,Satelite X,Satelite Y,Satelite Z,Slant Distance (km)
0.0,16420687.077840153,4864.017169,6370.239083,4136.510118999999,3689.773564,4222.72217,3028.891599,2686.5397300898853
494.1888326999999,14304353.3293674,4651.764510802412,6467.605530931369,4228.532912465269,2319.817224,4865.712767,3698.167005,2878.424320937111
554.1888326999999,11850072.40565656,4625.779423874987,6478.857583594584,4239.798826908015,1865.808701,4981.749611,3862.256016,3162.484663488768
614.1888329999999,9642049.182644254,4599.749417340665,6489.985611877463,4251.084216384635,1402.384261,5072.667625,4006.812686,3505.9382195732146
674.1888329999999,7830458.026834012,4573.674989750815,6500.989402645456,4262.388864746646,932.0104707,5138.4804,4131.480818,3890.4097686884525
734.1888329999999,6403252.350235702,4547.556640116817,6511.868745309515,4273.712555646129,457.1066771,5179.368385,4236.050692,4302.180438584901
794.1888329999999,5294182.663567915,4521.394868420888,6522.623431606948,4285.055072314254,-19.97676063,5195.6658,4320.451362,4731.397861790082
854.1888329999999,4432227.857653269,4495.190175476469,6533.253255661349,4296.416197621813,-496.9769412,5187.846254,4384.741366,5171.039920201184
914.188833,3757632.0049610627,4468.943062918643,6543.758013986546,4307.795714083369,-971.7335203,5156.50757,4429.098291,5616.060878648946
974.188833,3224290.987983319,4442.654033194527,6554.137505490496,4319.193403861428,-1442.200491,5102.356322,4453.807591,6062.7800846681575
1034.188833,2797825.0758769293,4416.32358955366,6564.391531479128,4330.609048770604,-1906.454806,5026.192483,4459.251039,6508.466156758625
1094.188833,2452878.427791959,4389.952236038362,6574.519895660152,4342.042430281798,-2362.702095,4928.894567,4445.895151,6951.058093874597
1154.188833,2170746.7944001528,4363.540477474087,6584.522404146817,4353.493329526377,-2809.27978,4811.405518,4414.27986,7388.97753009553
1214.188833,1937551.283212922,4337.088819459767,6594.398865461623,4364.961527300371,-3244.657942,4674.719569,4365.00765,7821.00073892698
1274.188833,1742903.368579338,4310.597768358122,6604.149090539979,4376.446804068662,-3667.438274,4519.870184,4298.733329,8246.169840454415
1334.188833,1578948.77938653,4284.067831285972,6613.77289273383,4387.94893996919,-4076.35148,4347.919174,4216.154538,8663.729996472148
1394.188833,1439686.6912052264,4257.499516104532,6623.27008781523,4399.467714817163,-4470.253434,4159.946995,4118.003068,9073.08407131021
1454.188833,1320484.0964170052,4230.893331409685,6632.640493979864,4411.002908109271,-4848.120379,3957.044221,4005.037018,9473.759215523845
1514.188833,1217727.3727640724,4204.249786522248,6641.8839318505325,4422.554299027903,-5209.043443,3740.304141,3878.033793,9865.38176094197
1574.188833,1128570.295648787,4177.569391478223,6651.000224480581,4434.121666445382,-5552.222675,3510.816431,3737.783925,10247.657984334855
1634.188833,1050750.1372123589,4150.852657019033,6659.989197357292,4445.704788928191,-5876.960802,3269.661807,3585.085678,10620.359119953759
1694.188833,982452.1718959671,4124.100094581746,6668.8506784052215,4457.303444741216,-6182.656865,3017.907591,3420.740395,10983.309492473001
1754.188833,922208.883075369,4097.312216289278,6677.584497989496,4468.917411851987,-6468.799851,2756.604091,3245.548528,11336.376978404029
1814.188833,868824.265715333,4070.489534940599,6686.190488919061,4480.546467934933,-6734.962443,2486.781712,3060.3063,11679.465255646815
1874.188833,821316.4512563362,4043.632564000911,6694.668486449875,4492.190390375636,-6980.794954,2209.448722,2865.802933,12012.50742337237
1934.188833,778873.8291527218,4016.741817591819,6703.018328288071,4503.848956275089,-7206.019509,1925.589567,2662.818384,12335.460710118572
1994.188833,740821.2033513932,3989.817810481493,6711.239854593057,4515.521942453969,-7410.424523,1636.163691,2452.121533,12648.302043282678
2054.188833,706593.4742486497,3962.861058074807,6719.332907980582,4527.209125456906,-7593.859503,1342.104762,2234.468776,12951.024321292996
