Time (min),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z,Slant Distance (km)
0.0,0.0,0,1261.787807,-4870.204007,775.5718931,3689.773564,4222.72217,3028.891599,9677.493011806517
8.236480545,0.0,0,1422.2713340333055,-4836.447493360985,705.9937658427375,2319.817224,4865.712767,3698.167005,10192.673988480792
9.236480545,0.0,0,1441.6768954480974,-4831.920589261169,697.5804249436633,1865.808701,4981.749611,3862.256016,10320.037896471242
10.23648055,0.0,0,1461.0640992400736,-4827.301187932068,689.1750430484819,1402.384261,5072.667625,4006.812686,10441.24251946924
11.23648055,0.0,0,1480.4325740871227,-4822.58937784884,680.7777811450381,932.0104707,5138.4804,4131.480818,10556.089681847969
12.23648055,0.0,0,1499.781949316515,-4817.785249186553,672.3887999396352,457.1066771,5179.368385,4236.050692,10664.423968960746
13.23648055,0.0,0,1519.111854524161,-4812.888893910395,664.0082600221066,-19.97676063,5195.6658,4320.451362,10766.129155100021
14.23648055,0.0,0,1538.4219196786846,-4807.900405751042,655.6363218206945,-496.9769412,5187.846254,4384.741366,10861.124446359776
15.23648055,0.0,0,1557.7117751285075,-4802.819880202863,647.273145598979,-971.7335203,5156.50757,4429.098291,10949.360629430246
16.23648055,0.0,0,1576.9810516089246,-4797.647414522098,638.9188914528099,-1442.200491,5102.356322,4453.807591,11030.81624179801
17.23648055,0.0,0,1596.2293802491724,-4792.383107724989,630.5737193072425,-1906.454806,5026.192483,4459.251039,11105.49382772825
18.23648055,0.0,0,1615.456392579491,-4787.027060585889,622.2377889134755,-2362.702095,4928.894567,4445.895151,11173.416382124602
19.23648055,0.0,0,1634.6617205381783,-4781.57937563533,613.9112598457932,-2809.27978,4811.405518,4414.27986,11234.624013591163
20.23648055,0.0,0,1653.844996478634,-4776.040157158067,605.594291498511,-3244.657942,4674.719569,4365.00765,11289.170883635989
21.23648055,0.0,0,1673.005853176399,-4770.409511191069,597.2870430829239,-3667.438274,4519.870184,4298.733329,11337.122425814307
22.23648055,0.0,0,1692.1439238361845,-4764.687545521501,588.9896736242587,-4076.35148,4347.919174,4216.154538,11378.552869416631
23.23648055,0.0,0,1711.258842098893,-4758.87436968466,580.7023419586299,-4470.253434,4159.946995,4118.003068,11413.543051181332
24.23648055,0.0,0,1730.3502420486334,-4752.970094961865,572.4252067299988,-4848.120379,3957.044221,4005.037018,11442.178505124402
25.23648055,0.0,0,1749.4177582197235,-4746.974834378344,564.1584263871372,-5209.043443,3740.304141,3878.033793,11464.547816648637
26.23648055,0.0,0,1768.461025603688,-4740.8887027010605,555.9021591805936,-5552.222675,3510.816431,3737.783925,11480.7412229998
27.23648055,0.0,0,1787.4796796562432,-4734.71181643652,547.6565631596642,-5876.960802,3269.661807,3585.085678,11490.849430224775
28.23648055,0.0,0,1806.4733563042785,-4728.444293828534,539.4217961693673,-6182.656865,3017.907591,3420.740395,11494.962639543952
29.23648055,0.0,0,1825.441691952824,-4722.086254855964,531.1980158474214,-6468.799851,2756.604091,3245.548528,11493.169744020428
30.23648055,0.0,0,1844.384323492012,-4715.637821230423,522.9853796212279,-6734.962443,2486.781712,3060.3063,11485.557693267134
31.23648055,0.0,0,1863.3008883040252,-4709.09911639394,514.7840447048575,-6980.794954,2209.448722,2865.802933,11472.211001944017
32.23648055,0.0,0,1882.191024270043,-4702.470265516606,506.59416809604,-7206.019509,1925.589567,2662.818384,11453.21137103962
33.23648055,0.0,0,1901.0543697771689,-4695.751395494169,498.4159065731603,-7410.424523,1636.163691,2452.121533,11428.637430067465
34.23648055,0.0,0,1919.890563725356,-4688.942634945611,490.2494166922555,-7593.859503,1342.104762,2234.468776,11398.564567949117
35.23648055,0.0,0,1938.6992455343163,-4682.044114210682,482.0948547840191,-7756.230186,1044.320257,2010.602951,11363.0648416041
36.23648055,0.0,0,1957.480055150428,-4675.05596534741,473.9523769508079,-7897.494034,743.6913444,1781.25258,11322.206963556775
37.23648055,0.0,0,1976.2326330536232,-4667.978322129566,465.8221390636541,-8017.65607,441.0730108,1547.131351,11276.056338248341
38.23648055,0.0,0,1994.9566202642732,-4660.811320044107,457.7042967592811,-8116.765072,137.2943871,1308.937834,11224.67516205525
39.23648055,0.0,0,2013.6516583500595,-4653.555096288584,449.5990054371242,-8194.910096,-166.8407631,1067.355371,11168.122560538637
40.23648055,0.0,0,2032.3173894328336,-4646.2097897685135,441.50642025635625,-8252.217328,-470.5534292,823.0521261,11106.454768344634
41.23648055,0.0,0,2050.9534561954715,-4638.775541094718,433.4266961329165,-8288.847247,-773.088643,576.6812584,11039.725342847669
42.23648055,0.0,0,2069.559501888712,-4631.2524925806365,425.3599877365464,-8304.992087,-1073.714697,328.8811994,10967.985411829144
43.23648055,0.0,0,2088.1351703379823,-4623.640788239596,417.3064494878272,-8300.87358,-1371.722312,80.27601373,10891.28395118476
44.23648055,0.0,0,2106.680105950223,-4615.94057378206,409.2662355552254,-8276.740968,-1666.42378,-168.5241763,10809.668092767133
45.23648055,0.0,0,2125.193953720692,-4608.151996612835,401.2394998521404,-8232.869254,-1957.152085,-416.9227173,10723.18345269182
46.23648055,0.0,0,2143.6763592397574,-4600.275205828253,393.22639603395874,-8169.557709,-2243.260027,-664.3359157,10631.87450747647
47.23648055,0.0,0,2162.1269686996866,-4592.310352213309,385.2270774951123,-8087.128576,-2524.119362,-910.1925063,10535.78497742986
48.63913203,0.0,0,2187.952490775084,-4580.990340720192,374.0303428852458,-7939.798306,-2908.441304,-1251.694232,10392.86952074343
49.63913203,0.0,0,2206.325262794716,-4572.814529284991,366.0647710082933,-7812.08519,-3176.120857,-1493.237622,10284.76089189796
50.63913203,0.0,0,2224.665039470491,-4564.551180697742,358.11350436425937,-7666.514452,-3436.54064,-1731.362087,10172.204665622821
51.63913203,0.0,0,2242.971469725013,-4556.200453143299,350.17669516383,-7503.504192,-3689.143523,-1965.541578,10055.253684784508
52.63913203,0.0,0,2261.244203119233,-4547.762506479206,342.2544953409333,-7323.493029,-3933.388136,-2195.260178,9933.96317656226
53.63913203,0.0,0,2279.482889859162,-4539.237502232642,334.3470565498308,-7126.939801,-4168.748373,-2420.011724,9808.39142397884
54.63913203,0.0,0,2297.687180802562,-4530.625603597321,326.4545301622144,-6914.323412,-4394.712944,-2639.299462,9678.600526675928
55.63913203,0.0,0,2315.8567274656334,-4521.926975430373,318.57706726430854,-6686.142798,-4610.784984,-2852.635728,9544.657238215446
56.63913203,0.0,0,2333.991182029684,-4513.141784249189,310.714818653978,-6442.917013,-4816.481736,-3059.541662,9406.63390037571
57.63913203,0.0,0,2352.090197347788,-4504.270198228226,302.8679348378413,-6185.185435,-5011.334287,-3259.546969,9264.609498510299
58.63913203,0.0,0,2370.1534269514304,-4495.312387195801,295.03656602838964,-5913.508075,-5194.887393,-3452.189722,9118.670841814019
59.63913203,0.0,0,2388.1805250571424,-4486.268522630824,287.2208621411112,-5628.465986,-5366.699371,-3637.016213,8968.91389098573
60.63913203,0.0,0,2406.171146573116,-4477.138777659528,279.42097279162124,-5330.661775,-5526.34209,-3813.580871,8815.445271808194
61.63913203,0.0,0,2424.1249471058154,-4467.923327052147,271.6370472927981,-5020.720203,-5673.401036,-3981.446231,8658.383982471443
62.63913203,0.0,0,2442.0415829665635,-4458.622347219577,263.86923465192524,-4699.288868,-5807.475493,-4140.182983,8497.863340545604
63.63913203,0.0,0,2459.920711178128,-4449.236016209995,256.1176835678382,-4367.038972,-5928.178812,-4289.370084,8334.033198522047
64.63913203,0.0,0,2477.761989481281,-4439.764513705448,248.3825424280784,-4024.666155,-6035.138804,-4428.594965,8167.062477125009
65.63913203,0.0,0,2495.565076341357,-4430.20802101842,240.66395930605267,-3672.891406,-6127.998246,-4557.453823,7997.142069230961
66.63913203,0.0,0,2513.3296309547823,-4420.566721088354,232.96208195819904,-3312.462019,-6206.415516,-4675.552006,7824.488150585594
67.63913203,0.0,0,2531.055313255607,-4410.84079847816,225.27705782115663,-2944.152611,-6270.065373,-4782.504519,7649.345995147997
68.63913203,0.0,0,2548.7417839220134,-4401.030439370667,217.6090340089454,-2568.766175,-6318.639872,-4877.936632,7471.99433084111
69.63913203,0.0,0,2566.3887043828063,-4391.135831565077,209.9581573101485,-2187.135157,-6351.849445,-4961.484629,7292.750336239683
70.63913203,0.0,0,2583.995736823901,-4381.15716447335,202.32457418510307,-1800.122557,-6369.424154,-5032.796685,7111.97535388408
71.63913203,0.0,0,2601.562544194786,-4371.094629116598,194.708430763096,-1408.623024,-6371.115113,-5091.533901,6930.081400491272
72.63913203,0.0,0,2619.0887902149752,-4360.948418121414,187.10987283956683,-1013.563928,-6356.696112,-5137.371501,6747.5385533645385
73.63913203,0.0,0,2636.5741393804483,-4350.7187257161895,179.52904587331716,-615.9063979,-6325.96544,-5170.000201,6564.883273206775
74.63913203,0.0,0,2654.01825697007,-4340.405747727399,171.96609498372527,-216.6462854,-6278.747928,-5189.127775,6382.727693190567
75.63913203,383840.8829507222,0,2671.420809052,-4330.009681575845,164.42116494796926,183.1849617,-6214.897211,-5194.480816,6201.769833848584
76.63913203,406991.15075794916,0,2688.781462490084,-4319.530726272886,156.8944001982543,582.5195612,-6134.298238,-5185.806727,6022.804633475325
77.63913203,431872.572844618,0,2706.0998849502294,-4308.969082416618,149.38594481904897,980.2528268,-6036.87002,-5162.875933,5846.735497417076
78.63913203,458473.4293134238,0,2723.3757449067725,-4298.324952188048,141.8959425443261,1375.242814,-5922.568637,-5125.484337,5674.58588413104
79.63913203,486711.83627663483,0,2740.608711648819,-4287.598539347207,134.42453675481215,1766.310234,-5791.390497,-5073.456042,5507.510135989
80.63913203,516409.54449015384,0,2757.7984552865782,-4276.790049229261,126.97187047524142,2152.23869,-5643.375866,-5006.646323,5346.802332264854
81.63913203,547261.7633233954,0,2774.9446467576754,-4265.89968874058,119.53808637161931,2531.775311,-5478.612637,-4924.944882,5193.901466038822
82.63913203,578805.3991998921,0,2792.046957833454,-4254.92766635477,112.1233267484904,2903.631839,-5297.240354,-4828.279368,5050.390649326973
83.63913203,610390.3740194925,0,2809.1050611252595,-4243.874192108688,104.72773354621472,3266.486266,-5099.454462,-4716.619167,4917.987505088494
84.63913203,641161.5038074965,0,2826.118630090701,-4232.73947759842,97.35144833825063,3618.985099,-4885.510752,-4589.97946,4798.522545374529
